bins,values
5.501672240802676e-05,-4.0
5.535117056856187e-05,2.0
5.568561872909699e-05,2.0
5.602006688963211e-05,7.0
5.6354515050167225e-05,-3.0
5.6688963210702343e-05,-4.0
5.702341137123746e-05,-1.0
5.735785953177258e-05,-4.0
5.769230769230769e-05,3.0
5.802675585284281e-05,-5.0
5.836120401337793e-05,-3.0
5.8695652173913045e-05,4.0
5.903010033444816e-05,-6.0
5.936454849498328e-05,-3.0
5.969899665551839e-05,-2.0
6.003344481605351e-05,3.0
6.036789297658863e-05,-3.0
6.070234113712375e-05,7.0
6.103678929765886e-05,-12.0
6.137123745819398e-05,1.0
6.170568561872909e-05,-7.0
6.204013377926422e-05,8.0
6.237458193979932e-05,-3.0
6.270903010033446e-05,-4.0
6.304347826086956e-05,-3.0
6.337792642140469e-05,-11.0
6.37123745819398e-05,1.0
6.404682274247493e-05,6.0
6.438127090301003e-05,-6.0
6.471571906354516e-05,0.0
6.505016722408027e-05,5.0
6.538461538461539e-05,-8.0
6.57190635451505e-05,-4.0
6.605351170568561e-05,6.0
6.638795986622074e-05,-1.0
6.672240802675584e-05,-1.0
6.705685618729098e-05,-3.0
6.739130434782608e-05,5.0
6.772575250836121e-05,-1.0
6.806020066889632e-05,0.0
6.839464882943145e-05,-6.0
6.872909698996655e-05,0.0
6.906354515050168e-05,-11.0
6.939799331103679e-05,-2.0
6.973244147157191e-05,-11.0
7.006688963210703e-05,1.0
7.040133779264213e-05,2.0
7.073578595317726e-05,9.0
7.107023411371237e-05,6.0
7.14046822742475e-05,-7.0
7.17391304347826e-05,0.0
7.207357859531773e-05,4.0
7.240802675585284e-05,1.0
7.274247491638797e-05,3.0
7.307692307692307e-05,8.0
7.34113712374582e-05,6.0
7.374581939799331e-05,-4.0
7.408026755852844e-05,10.0
7.441471571906355e-05,-3.0
7.474916387959865e-05,-1.0
7.508361204013378e-05,0.0
7.541806020066889e-05,5.0
7.575250836120402e-05,0.0
7.608695652173912e-05,9.0
7.642140468227426e-05,-8.0
7.675585284280936e-05,-1.0
7.709030100334449e-05,2.0
7.74247491638796e-05,1.0
