bins,srs_values,bkg_values
1.0721442885771545e-05,4778.404770939552,6781.0
1.092184368737475e-05,4769.7569440868565,6491.0
1.1122244488977957e-05,4480.535179346698,6231.0
1.1322645290581163e-05,4563.169969272458,6249.0
1.1523046092184368e-05,4338.3264711023685,5972.0
1.1723446893787576e-05,4297.009076139489,6019.0
1.1923847695390781e-05,4239.356897121517,5829.0
1.212424849699399e-05,4081.774274472394,5720.0
1.2324649298597194e-05,3982.804700491543,5578.0
1.2525050100200402e-05,3976.0786129394464,5358.0
1.2725450901803607e-05,3815.6133813394254,5242.0
1.2925851703406816e-05,3747.3916361681586,5228.0
1.312625250501002e-05,3561.94379366035,5027.0
1.3326653306613229e-05,3545.609009605258,5089.0
1.3527054108216433e-05,3448.5611749250056,5033.0
1.3727454909819642e-05,3455.287262477102,4824.0
1.3927855711422847e-05,3283.291595073487,4674.0
1.4128256513026055e-05,3355.3568188459512,4678.0
1.432865731462926e-05,3301.548118429178,4626.0
1.4529058116232466e-05,2956.5959139716474,4529.0
1.4729458917835673e-05,3060.3698362039963,4631.0
1.4929859719438878e-05,3044.0350521489045,4436.0
1.5130260521042086e-05,2959.478522922546,4414.0
1.533066132264529e-05,2949.8698264195505,4450.0
1.55310621242485e-05,2902.7872135548737,4236.0
1.5731462925851707e-05,2776.9132893656356,4102.0
1.5931863727454912e-05,2835.5263380339065,4107.0
1.6132264529058117e-05,2682.7480636362816,4001.0
1.6332665330661325e-05,2646.2350169249,3941.0
1.653306613226453e-05,2632.7828418207064,3967.0
1.6733466933867735e-05,2601.074143360822,3929.0
1.6933867735470943e-05,2556.8741394470435,3785.0
1.713426853707415e-05,2388.7219506446263,3915.0
1.7334669338677356e-05,2455.9828261655935,3910.0
1.753507014028056e-05,2438.6871724602015,3715.0
1.773547094188377e-05,2437.7263028099023,3777.0
1.7935871743486977e-05,2398.3306471476217,3691.0
1.8136272545090182e-05,2310.8915089703646,3526.0
1.8336673346693387e-05,2254.2001996026925,3599.0
1.8537074148296595e-05,2230.178458345204,3441.0
1.8737474949899803e-05,2196.5480205847207,3478.0
1.8937875751503008e-05,2193.6654116338223,3374.0
1.9138276553106213e-05,2152.3480166709423,3435.0
1.933867735470942e-05,2124.4827968122563,3400.0
1.9539078156312626e-05,2123.5219271619567,3328.0
1.973947895791583e-05,2055.30018199069,3291.0
1.993987975951904e-05,1992.843654721221,3250.0
2.0140280561122247e-05,2077.400183947579,3221.0
2.0340681362725452e-05,2013.9827870278104,3226.0
2.0541082164328657e-05,2011.1001780769118,3063.0
2.0741482965931865e-05,1851.5958161271901,3182.0
2.0941883767535074e-05,1878.500166335577,3152.0
2.114228456913828e-05,1870.8132091331809,3053.0
2.1342685370741483e-05,1786.2566799068222,3095.0
2.154308617234469e-05,1780.4914620050251,3011.0
2.17434869739479e-05,1824.6914659188035,2911.0
2.1943887775551105e-05,1734.3697187906478,2999.0
2.214428857715431e-05,1703.6218899810628,2808.0
2.2344689378757518e-05,1677.6784094229756,2912.0
2.2545090180360722e-05,1674.795800472077,2916.0
2.2745490981963927e-05,1720.9175436864543,2888.0
2.2945891783567135e-05,1639.2436234109946,2804.0
2.3146292585170344e-05,1622.9088393559025,2835.0
